denominazione;piva;comune;provincia;regione;data_costituzione;anno_cost;n_cf;anno_ult;fatt_ult;fatt_per_cf;utile_ult;utile_per_cf;margine_pct;cresc_24_pct;cagr_22_24_pct;fatt_2022;fatt_2023;fatt_2024;fatt_2025;utile_2022;utile_2023;utile_2024;utile_2025;dipendenti;ateco;stato;ra_nome;match
CONSULTIQUE SOCIETA' DI CONSULENZA FINANZIARIA S.P.A.;03148980232;VERONA;VR;VENETO;27/06/2001;2001;18;2024;4901847.0;272325;1473214.0;81845;30.1;24.7;22.1;3286192.0;3930884.0;4901847.0;;629930.0;883308.0;1473214.0;;10-24;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Consultique Societa' Di Consulenza Finanziaria S.P.A.;True
IOINVESTO SCF SRL;04462930167;BERGAMO;BG;LOMBARDIA;23/07/2020;2020;95;2024;3478759.0;36619;151768.0;1598;4.4;79.9;101.4;857738.0;1934048.0;3478759.0;;4110.0;54314.0;151768.0;;10-24;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Ioinvesto Societa' Di Consulenza Finanziaria S.R.L.;True
TACK SOCIETÀ DI CONSULENZA FINANZIARIA SRL;10934320960;MILANO;MI;LOMBARDIA;31/07/2019;2019;1;2024;2863214.0;2863214;1512166.0;1512166;52.8;18.5;8.9;2413993.0;2416469.0;2863214.0;;1200703.0;1025519.0;1512166.0;;0-9;66.19.21: Attività di consulenti finanziari abilitati all'offerta fuori sede;Attiva;Tack Societa' Di Consulenza Finanziaria S.R.L. Ovvero, In Forma Abbreviata, Tack Scf S.R.L.;True
IFA CONSULTING S.R.L. SOCIETÀ DI CONSULENZA FINANZIARIA;03270800232;VERONA;VR;VENETO;02/12/2002;2002;8;2025;1955376.0;244422;556661.0;69583;28.5;-7.1;;;2082846.0;1935152.0;1955376.0;;727483.0;578207.0;556661.0;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Ifa Consulting S.R.L. Societa' Di Consulenza Finanziaria;True
FAMILY CUBE PARTNERS SCF S.R.L.;10568800964;MILANO;MI;LOMBARDIA;11/12/2018;2018;2;2024;1937796.0;968898;12267.0;6134;0.6;2.3;4.5;1776000.0;1893500.0;1937796.0;;19186.0;27103.0;12267.0;;0-9;66.19.22: Attività di agenti, mediatori e procacciatori in prodotti finanziari;Attiva;Family Cube Partners Societa' Di Consulenza Finanziaria S.R.L.;True
V&M FAMILY PARTNERS S.P.A. SOCIETÀ DI CONSULENZA FINANZIARIA;11751800969;MILANO;MI;LOMBARDIA;30/04/2021;2021;4;2024;1832758.0;458190;703548.0;175887;38.4;25.0;24.0;1192167.0;1466408.0;1832758.0;;197298.0;384753.0;703548.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;V&M Family Partners S.P.A. - Societa' Di Consulenza Finanziaria;True
Q CONSULENZE SOCIETA' DI CONSULENZA FINANZIARIA S.R.L.;02870220353;REGGIO EMILIA;RE;EMILIA ROMAGNA;13/11/2019;2019;2;2024;1809545.0;904772;1258769.0;629384;69.6;61.4;89.3;504890.0;1121045.0;1809545.0;;118148.0;500119.0;1258769.0;;0-9;74.90.99: Altre attività professionali n.c.a.;Attiva;Q Consulenze Societa' Di Consulenza Finanziaria S.R.L.;True
LCG ADVISORY SOCIETA' DI CONSULENZA FINANZIARIA SOCIETA' PER AZIONI;05524721007;ROMA;RM;LAZIO;07/05/1998;1998;3;2024;1783182.0;594394;59376.0;19792;3.3;-36.0;-16.1;2531253.0;2785744.0;1783182.0;;370263.0;411990.0;59376.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Lcg Advisory Societa' Di Consulenza Finanziaria Spa;True
ADHOC SOCIETA' DI CONSULENZA FINANZIARIA SRL;04097240966;MILANO;MI;LOMBARDIA;16/10/2003;2003;16;2024;1711752.0;106984;5498.0;344;0.3;38.6;20.9;1171573.0;1235371.0;1711752.0;;-30264.0;-58564.0;5498.0;;0-9;66.19.22: Attività di agenti, mediatori e procacciatori in prodotti finanziari;Attiva;Adhoc Societa' Di Consulenza Finanziaria S.R.L.;True
TOKOS SCF SRL;09723730017;TORINO;TO;PIEMONTE;27/11/2007;2007;17;2024;1602898.0;94288;457641.0;26920;28.6;94.3;48.5;726388.0;824940.0;1602898.0;;9532.0;145759.0;457641.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Tokos - Societa' Di Consulenza Finanziaria S.R.L.;True
MEZZETTI ADVISORY GROUP S.R.L. SOCIETA' DI CONSULENZA FINANZIARIA;06792180967;MILANO;MI;LOMBARDIA;09/11/2009;2009;3;2025;1443600.0;481200;459255.0;153085;31.8;14.9;;;1559975.0;1792445.0;1443600.0;;571129.0;637032.0;459255.0;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Mezzetti Advisory Group S.R.L. Societa' Di Consulenza Finanziaria;True
INVESTIMENTO DI VALORE SCF SRL;02479600500;POMARANCE;PI;TOSCANA;24/05/2023;2023;13;2025;1308868.0;100682;652679.0;50206;49.9;245.0;;;82781.0;285597.0;1308868.0;;-491.0;87849.0;652679.0;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Investimento Di Valore Scf Srl;True
MONIUM SOCIETÀ DI CONSULENZA FINANZIARIA SRL;15472751005;ROMA;RM;LAZIO;24/10/2019;2019;6;2025;1217805.0;202968;458333.0;76389;37.6;25.8;;;803559.0;1011274.0;1217805.0;;14308.0;219178.0;458333.0;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Monium Societa' Di Consulenza Finanziaria Srl;True
MG PARTNERS SCF SRL;11848680960;MILANO;MI;LOMBARDIA;17/06/2021;2021;2;2024;1113089.0;556544;165187.0;82594;14.8;;;;;1113089.0;;;;165187.0;;0-9;66.19.21: Attività di consulenti finanziari abilitati all'offerta fuori sede;Attiva;Mg Partners Societa' Di Consulenza Finanziaria S.R.L. O, In For Ma Abbreviata, Mg Partners S.C.F. S.R.L.;True
PANRHEMA SOCIETA' DI CONSULENZA FINANZIARIA SRL;08387920963;MILANO;MI;LOMBARDIA;01/10/2013;2013;6;2024;1109344.0;184891;33479.0;5580;3.0;16.7;16.5;817163.0;950509.0;1109344.0;;16213.0;60789.0;33479.0;;0-9;66.19.22: Attività di agenti, mediatori e procacciatori in prodotti finanziari;Attiva;Panrhema Societa' Di Consulenza Finanziaria S.R.L.;True
SOLDIEXPERT SCF SRL;03288110962;MILANO;MI;LOMBARDIA;11/10/2001;2001;5;2025;1066227.0;213245;34192.0;6838;3.2;-1.6;;;826085.0;812720.0;1066227.0;;-7298.0;-87003.0;34192.0;0-9;62.09: Altre attività dei servizi connessi alle tecnologie dell'informatica;Attiva;Soldiexpert Societa' Di Consulenza Finanziaria - S.R.L. O In For Ma Abbr. Soldiexpert Scf - S.R.L.;True
GAMMAWAVE CAPITAL SCF S.R.L.;11722950968;MILANO;MI;LOMBARDIA;13/04/2021;2021;5;2024;993935.0;198787;246414.0;49283;24.8;116.0;52.9;425315.0;460172.0;993935.0;;148145.0;94639.0;246414.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Gammawave Capital Scf S.R.L.;True
J. LAMARCK SCF S.P.A.;02684320233;DESENZANO DEL GARDA;BS;LOMBARDIA;11/03/1996;1996;2;2024;926013.0;463006;343098.0;171549;37.1;-47.7;-32.6;2037427.0;1770725.0;926013.0;;1138813.0;949853.0;343098.0;;0-9;66.19.22: Attività di agenti, mediatori e procacciatori in prodotti finanziari;Attiva;J. Lamarck S.P.A. - Societa' Di Consulenza Finanziaria In Forma Abbreviata J. Lamarck Scf S.P.A.;True
ALFA PLANNERS SCF S.P.A.;04956900015;TORINO;TO;PIEMONTE;06/11/1985;1985;19;2024;922358.0;48545;93104.0;4900;10.1;21.9;12.0;735145.0;756409.0;922358.0;;-33153.0;-40180.0;93104.0;;0-9;63.11.2: Gestione database (attività delle banche dati);Attiva;Alfa Planners Societa' Di Consulenza Finanziaria S.P.A. Sigla Denominazione: Alfa Planners Scf S.P.A. - Alfa Scf S.P.A.;True
MIRO & CO SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;12139180967;MILANO;MI;LOMBARDIA;15/12/2021;2021;2;2024;843550.0;421775;1732506.0;866253;205.4;-33.1;55.0;351052.0;1260681.0;843550.0;;1411127.0;1799830.0;1732506.0;;0-9;70.1: ATTIVITÀ DI DIREZIONE AZIENDALE;Attiva;Miro & Co Societa' Di Consulenza Finanziaria Srl Ovvero, In Forma Abbreviata, Miro & Co Scf Srl;True
VISHON SCF SRL;13047480960;MILANO;MI;LOMBARDIA;05/07/2023;2023;1;2024;807400.0;807400;181369.0;181369;22.5;802.1;;;89500.0;807400.0;;;12114.0;181369.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Vishon Scf S.R.L.;True
AMBROSETTI ASSET MANAGEMENT SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L. (IN FORMA ABBREVIATA “AMBROSETTI ASSET MANAGEMENT SCF S.R.L);03760520969;LOMAZZO;CO;LOMBARDIA;21/06/2023;2023;2;2024;796031.0;398016;275209.0;137604;34.6;3.0;;;772717.0;796031.0;;;173797.0;275209.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Ambrosetti Asset Management Societa' Di Consulenza Finanziaria S.R.L. O Abbreviatamente Ambrosetti Asset Management Scf S.R.L.;True
ARCHEIDE SCF SRL;04077980268;TREVISO;TV;VENETO;29/06/2006;2006;3;2024;731791.0;243930;187160.0;62387;25.6;61.9;27.6;449770.0;452073.0;731791.0;;51735.0;61487.0;187160.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Archeide S.R.L. - Societa' Di Consulenza Finanziaria In Breve Archeide Scf;True
MERIDIAN SOCIETA' DI CONSULENZA FINANZIARIA SRL;10791940967;MILANO;MI;LOMBARDIA;18/04/2019;2019;9;2024;653136.0;72571;1121.0;125;0.2;18.1;13.7;505098.0;553164.0;653136.0;;13730.0;-685.0;1121.0;;-;66.19.22: Attività di agenti, mediatori e procacciatori in prodotti finanziari;Attiva;Meridian Societa' Di Consulenza Finanziaria S.R.L.;True
STRATOS S.C.F. S.R.L.;03038040303;UDINE;UD;FRIULI VENEZIA GIULIA;03/06/2021;2021;6;2025;575165.0;95861;330124.0;55021;57.4;86.2;;;242062.0;450703.0;575165.0;;115937.0;264363.0;330124.0;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Stratos S.C.F. S.R.L.;True
SECOLARE SRL SOCIETÀ DI CONSULENZA FINANZIARIA;12461440963;MILANO;MI;LOMBARDIA;16/06/2022;2022;4;2025;565915.0;141479;123070.0;30768;21.7;259.5;;;158897.0;571217.0;565915.0;;20659.0;56581.0;123070.0;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Secolare S.R.L. - Societa' Di Consulenza Finanziaria;True
CFO SOLUTIONS SOCIETA' DI CONSULENZA FINANZIARIA SRL;03812130239;VERONA;VR;VENETO;21/10/2008;2008;4;2024;537825.0;134456;4928.0;1232;0.9;-11.2;15.3;404459.0;605365.0;537825.0;;8091.0;50682.0;4928.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Cfo Solutions Societa' Di Consulenza Finanziaria S.R.L.;True
A. B. SOLUTE FAMILY OFFICE SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;04298320245;VICENZA;VI;VENETO;29/09/2020;2020;1;2024;521642.0;521642;162872.0;162872;31.2;10.1;-6.3;593526.0;473630.0;521642.0;;310781.0;196047.0;162872.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;A.B. Solute Family Office Societa' Di Consulenza Finanziaria S.R.L. - In Sigla A.B. Solute Family Office S.C.F. S.R.L.;True
SAN MARCO CAPITAL SCF S.R.L.;04292420249;VICENZA;VI;VENETO;11/08/2020;2020;5;2025;491400.0;98280;70221.0;14044;14.3;179.1;;;153361.0;427967.0;491400.0;;16902.0;72743.0;70221.0;0-9;74.90.99: Altre attività professionali n.c.a.;Attiva;San Marco Capital Societa' Di Consulenza Finanziaria Srl;True
NORISK SOCIETA' DI CONSULENZA FINANZIARIA SRL;12768020153;MILANO;MI;LOMBARDIA;18/03/1999;1999;5;2024;472375.0;94475;61451.0;12290;13.0;25.0;22.5;314598.0;377794.0;472375.0;;39520.0;53714.0;61451.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Norisk Societa' Di Consulenza Finanziaria S.R.L. O Brevemente Norisk Scf S.R.L.;True
TEKTA S.R.L. SOCIETA' DI CONSULENZA FINANZIARIA;01637490507;SAN ROMANO;PI;TOSCANA;31/10/2002;2002;6;2024;470018.0;78336;7813.0;1302;1.7;6.3;11.4;378417.0;442360.0;470018.0;;22736.0;23029.0;7813.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Tekta S.R.L. Societa' Di Consulenza Finanziaria;True
PIANO FINANZIARIO SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;04044680363;MODENA;MO;EMILIA ROMAGNA;07/09/2022;2022;4;2024;462224.0;115556;82738.0;20684;17.9;89.0;609.4;9184.0;244586.0;462224.0;;412.0;18166.0;82738.0;;0-9;66.19.21: Attività di consulenti finanziari abilitati all'offerta fuori sede;Attiva;Piano Finanziario Societa' Di Consulenza Finanziaria Srl;True
HCINQUE SOCIETA' DI CONSULENZA FINANZIARIA SRL;10101591005;ROMA;RM;LAZIO;23/07/2008;2008;5;2024;455542.0;91108;8871.0;1774;1.9;-9.8;32.8;258135.0;505110.0;455542.0;;-35537.0;7240.0;8871.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Hcinque S.R.L.- Societa' Di Consulenza Finanziaria;True
SF CONSULTING SRL SOCIETA' DI CONSULENZA FINANZIARIA;03062250216;EGNA;BZ;TRENTINO ALTO ADIGE;20/12/2019;2019;1;2025;447560.0;447560;481282.0;481282;107.5;13.8;;;336803.0;383241.0;447560.0;;57674.0;36480.0;481282.0;0-9;64.99.6: Altre intermediazioni finanziarie n.c.a.;Attiva;Sf Consulting Srl Societa' Di Consulenza Finanziaria;True
81 SOCIETA' DI CONSULENZA FINANZIARIA FAMILY OFFICE S.R.L.;03341580243;VICENZA;VI;VENETO;18/09/2006;2006;2;2024;444336.0;222168;129406.0;64703;29.1;33.0;19.0;313964.0;334191.0;444336.0;;4036.0;50864.0;129406.0;;0-9;82.99.99: Altri servizi di sostegno alle imprese n.c.a.;Attiva;81 Societa' Di Consulenza Finanziaria Family Office Srl;True
BEA FINANCE SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;12216440961;MILANO;MI;LOMBARDIA;24/01/2022;2022;1;2024;436221.0;436221;105731.0;105731;24.2;59.9;87.9;123500.0;272793.0;436221.0;;232.0;1771.0;105731.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Bea Finance Societa' Di Consulenza Finanziaria S.R.L.;True
CAVINI CONSULTING SRL SCF UNIPERSONALE;06640020480;CAMPI BISENZIO;FI;TOSCANA;13/04/2016;2016;2;2024;406538.0;203269;18241.0;9120;4.5;0.8;14.2;311833.0;403163.0;406538.0;;26095.0;5778.0;18241.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Cavini Consulting S.R.L. - Societa' Di Consulenza Finanziaria;True
PROGETTO PATRIMONIO SRL SOCIETA DI CONSULENZA FINANZIARIA;03005000421;ANCONA;AN;MARCHE;10/01/2025;2025;1;2025;383371.0;383371;386.0;386;0.1;;;;;;383371.0;;;;386.0;0-9;82.99.99: Altri servizi di sostegno alle imprese n.c.a.;Attiva;Progetto Patrimonio Srl Societa' Di Consulenza Finanziaria;True
PLANNIX SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;12983770962;MILANO;MI;LOMBARDIA;24/05/2023;2023;4;2024;382396.0;95599;-45284.0;-11321;-11.8;1096.3;;;31965.0;382396.0;;;-62445.0;-45284.0;;0-9;47.41: Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in esercizi specializzati;Attiva;Plannix Societa' Di Consulenza Finanziaria S.R.L.;True
ATAI SOCIETA' DI CONSULENZA FINANZIARIA SRL;13274160962;MILANO;MI;LOMBARDIA;14/12/2023;2023;2;2024;380893.0;190446;103368.0;51684;27.1;;;;;380893.0;;;;103368.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Atai Societa' Di Consulenza Finanziaria S.R.L.;True
FAMILY OFFICE ITALIA SCF SRL;04525690402;RIMINI;RN;EMILIA ROMAGNA;10/09/2020;2020;11;2024;369412.0;33583;40669.0;3697;11.0;69.1;38.0;194029.0;218491.0;369412.0;;3131.0;2509.0;40669.0;;0-9;66.19.22: Attività di agenti, mediatori e procacciatori in prodotti finanziari;Attiva;Family Office Italia - Societa' Di Consulenza Finanziaria Srl;True
NEXTPERIENCE S.R.L. SOCIETA’ DI CONSULENZA FINANZIARIA;12548910962;MILANO;MI;LOMBARDIA;07/09/2022;2022;5;2024;332429.0;66486;-88953.0;-17791;-26.8;169.2;;;123501.0;332429.0;;;-82120.0;-88953.0;;0-9;66.19.22: Attività di agenti, mediatori e procacciatori in prodotti finanziari;Attiva;Nextperience S.R.L. Societa' Di Consulenza Finanziaria;True
CLASSIS CAPITAL - SOCIETÀ DI CONSULENZA FINANZIARIA S.P.A.” (IN FORMA ABBREVIATA “CLASSIS CAPITAL SCF S.P.A.”);06549050968;MILANO;MI;LOMBARDIA;21/06/2023;2023;1;2024;320726.0;320726;-90595.0;-90595;-28.2;59.8;;;200722.0;320726.0;;;-538752.0;-90595.0;;0-9;64.99.1: Attività di intermediazione mobiliare;Attiva;Classis Capital - Societa' Di Consulenza Finanziaria Spa;True
ALUT SOCIETA' DI CONSULENZA FINANZIARIA SRL;03831200245;THIENE;VI;VENETO;10/05/2013;2013;3;2024;315081.0;105027;6596.0;2199;2.1;4.4;-6.3;359089.0;301711.0;315081.0;;45156.0;-1300.0;6596.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Alut Societa' Di Consulenza Finanziaria Srl;True
CS FAMILY OFFICE SRL SOCIETA' DI CONSULENZA FINANZIARIA;02761610134;LECCO;LC;LOMBARDIA;23/09/2003;2003;2;2024;292768.0;146384;24248.0;12124;8.3;16.9;29.6;174282.0;250373.0;292768.0;;-16344.0;30751.0;24248.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Cs Family Office S.R.L. Societa' Di Consulenza Finanziaria;True
Four Your Future società di consulenza finanziaria srl;16414611000;ROMA;RM;LAZIO;22/11/2021;2021;10;2025;269658.0;26966;-2121.0;-212;-0.8;96.0;;;69373.0;135962.0;269658.0;;2253.0;3141.0;-2121.0;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Four Your Future Societa' Di Consulenza Finanziaria S.R.L.;True
