denominazione;piva;comune;provincia;regione;data_costituzione;anno_cost;n_cf;anno_ult;fatt_ult;fatt_per_cf;utile_ult;utile_per_cf;margine_pct;cresc_24_pct;cagr_22_24_pct;fatt_2022;fatt_2023;fatt_2024;fatt_2025;utile_2022;utile_2023;utile_2024;utile_2025;dipendenti;ateco;stato;ra_nome;match
RINASCIMENTO SOCIETA DI CONSULENZA FINANZIARIA SRL;13074230965;MILANO;MI;LOMBARDIA;25/07/2023;2023;2;2024;120000.0;60000;16743.0;8372;14.0;;;;;120000.0;;;;16743.0;;0-9;66.19.21: Attività di consulenti finanziari abilitati all'offerta fuori sede;Attiva;Rinascimento Societa' Di Consulenza Finanziaria S.R.L.;True
JMAN INVESTMENTS SOCIETA' DI CONSULENZA FINANZIARIA S.R.L.S.;02117220679;PINETO;TE;ABRUZZO;04/02/2022;2022;2;2024;114584.0;57292;8960.0;4480;7.8;106.7;60.8;44303.0;55426.0;114584.0;;212.0;-1679.0;8960.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Jman Investments Societa' Di Consulenza Finanziaria S.R.L.S.;True
BLUE OCEAN SOCIETÀ DI CONSULENZA FINANZIARIA S.P.A.;17725491009;ROMA;RM;LAZIO;23/07/2024;2024;5;2025;106250.0;21250;33479.0;6696;31.5;;;;;;106250.0;;;;33479.0;-;66.19.22: Attività di agenti, mediatori e procacciatori in prodotti finanziari;Attiva;Blue Ocean Societa' Di Consulenza Finanziaria S.P.A.;True
PRIMA SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;01753820347;PARMA;PR;EMILIA ROMAGNA;04/04/1990;1990;2;2024;103782.0;51891;6995.0;3498;6.7;;;;;103782.0;;;;6995.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Prima Societa' Di Consulenza Finanziaria S.R.L.;True
AR FINANCIAL PLANNING S.R.L. SOCIETA' DI CONSULENZA FINANZIARIA;07975170965;SEGRATE;MI;LOMBARDIA;26/09/2012;2012;1;2024;102575.0;102575;27895.0;27895;27.2;20.3;16.1;76087.0;85240.0;102575.0;;6598.0;12763.0;27895.0;;0-9;66.19.22: Attività di agenti, mediatori e procacciatori in prodotti finanziari;Attiva;Ar Financial Planning S.R.L. Societa' Di Consulenza Finanziaria;True
COLAZIONE A WALL STREET SOCIETA' DI CONSULENZA FINANZIARIA SRL;13252530962;MONZA;MB;LOMBARDIA;04/12/2023;2023;3;2024;101803.0;33934;10951.0;3650;10.8;;;;;101803.0;;;;10951.0;;-;66.19.21: Attività di consulenti finanziari abilitati all'offerta fuori sede;Attiva;Colazione A Wall Street Societa' Di Consulenza Finanziaria S.R.L.;True
ONGARO S.C.F. S.R.L.;09256000960;MILANO;MI;LOMBARDIA;30/10/2015;2015;1;2024;93869.0;93869;-6195.0;-6195;-6.6;;111.4;21000.0;;93869.0;;384289.0;;-6195.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Ongaro S.C.F. S.R.L.;True
UNO CAPITAL SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;04734050612;CASERTA;CE;CAMPANIA;31/05/2023;2023;13;2024;86595.0;6661;3354.0;258;3.9;1278.0;;;6284.0;86595.0;;;-3428.0;3354.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Uno Capital Societa' Di Consulenza Finanziaria S.R.L.;True
ZEFIRO SOCIETÀ DI CONSULENZA FINANZIARIA SRL.;02990550358;CORREGGIO;RE;EMILIA ROMAGNA;21/10/2022;2022;2;2024;84913.0;42456;13441.0;6720;15.8;199.3;;;28366.0;84913.0;;;2997.0;13441.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Zefiro Societa' Di Consulenza Finanziaria Srl;True
NEVIST SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;01295870073;AOSTA;AO;VALLE D'AOSTA;09/05/2024;2024;5;2024;81976.0;16395;4330.0;866;5.3;;;;;81976.0;;;;4330.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Nevist Societa' Di Consulenza Finanziaria S.R.L.;True
